Name,Confidence,Total Faces,Recognized Faces,Recognition Rate (%)
l_3_2,0.5869526267051697,,,
l_3_4,0.7074264287948608,,,
l_3_3,0.8795403242111206,,,
l_4_1,0.5102429986000061,,,
r_b2_2,0.3731251657009125,,,
l_5_5,0.7592883706092834,,,
l_4_3,0.7225492596626282,,,
l_11_6,0.32389992475509644,,,
l_4_2,0.7528806328773499,,,
l_6_7,0.7076566815376282,,,
l_5_6,0.7930066585540771,,,
l_8_3,0.391828328371048,,,
l_6_4,0.5547431111335754,,,
r_10_3,0.3640277683734894,,,
l_8_3,0.3473215401172638,,,
l_4_6,0.7777212262153625,,,
r_8_8,0.348234623670578,,,
l_6_5,0.40482470393180847,,,
l_2_1,0.4132310152053833,,,
l_8_5,0.471338152885437,,,
r_7_6,0.4216870367527008,,,
r_7_2,0.40145954489707947,,,
l_10_5,0.34730637073516846,,,
l_11_6,0.5585981011390686,,,
r_8_6,0.4496159553527832,,,
l_6_3,0.7362076640129089,,,
l_8_5,0.41639432311058044,,,
r_7_6,0.5879591703414917,,,
l_7_1,0.4675559401512146,,,
l_8_5,0.41859549283981323,,,
l_7_3,0.5162307620048523,,,
l_9_1,0.3999466896057129,,,
l_11_6,0.5081721544265747,,,
r_7_3,0.3023284673690796,,,
Summary,,34.0,34.0,100.0
