Name,Confidence,Total Faces,Recognized Faces,Recognition Rate (%)
r_b3_1,0.7560746669769287,,,
r_b2_4,0.7174478769302368,,,
r_b4_5,0.6437093019485474,,,
r_b1_1,0.7440373301506042,,,
r_b2_1,0.7136307954788208,,,
r_b4_6,0.7456509470939636,,,
r_b4_4,0.7861467599868774,,,
r_b2_4,0.34378859400749207,,,
r_b2_2,0.4590929448604584,,,
r_5_4,0.6373913884162903,,,
r_b1_2,0.6065189838409424,,,
r_b3_3,0.6128407120704651,,,
r_5_3,0.4732317328453064,,,
r_5_7,0.5153818130493164,,,
r_6_1,0.5279507040977478,,,
r_b2_3,0.4644342362880707,,,
l_7_1,0.46609121561050415,,,
r_b4_3,0.32915157079696655,,,
r_8_6,0.437412291765213,,,
r_b3_2,0.5245373845100403,,,
r_8_7,0.3989628553390503,,,
r_b3_4,0.4218444526195526,,,
l_9_1,0.4069739878177643,,,
r_9_4,0.6533953547477722,,,
r_9_2,0.41442403197288513,,,
r_9_4,0.3717772960662842,,,
l_11_6,0.33855941891670227,,,
r_b4_1,0.5965423583984375,,,
l_8_1,0.3744208514690399,,,
l_10_1,0.388422429561615,,,
r_6_2,0.5252202749252319,,,
l_11_1,0.3325234353542328,,,
r_5_5,0.3694590628147125,,,
l_11_6,0.33086803555488586,,,
l_11_6,0.41730836033821106,,,
r_11_4,0.4675835967063904,,,
r_5_1,0.4644985496997833,,,
Summary,,37.0,37.0,100.0
