Name,Confidence,Total Faces,Recognized Faces,Recognition Rate (%)
r_b1_2,0.9628340601921082,,,
r_b1_1,0.9535782933235168,,,
r_b2_1,0.9053968787193298,,,
r_b3_1,0.9393481612205505,,,
r_b2_4,0.9449594020843506,,,
r_b2_2,0.9646729230880737,,,
r_b3_2,0.9356958270072937,,,
l_3_2,0.9578779935836792,,,
l_2_1,0.38847386837005615,,,
l_2_2,0.9301471710205078,,,
l_4_3,0.9702760577201843,,,
l_3_3,0.9518075585365295,,,
r_b3_3,0.9652570486068726,,,
l_4_4,0.9301891326904297,,,
l_4_2,0.9586345553398132,,,
l_3_4,0.9437248706817627,,,
l_3_1,0.9661836624145508,,,
r_b3_4,0.9721035361289978,,,
l_6_3,0.6073291897773743,,,
l_5_5,0.49516719579696655,,,
l_5_6,0.5806760191917419,,,
r_5_6,0.6560553312301636,,,
r_5_7,0.5845024585723877,,,
r_5_3,0.4934247136116028,,,
r_7_3,0.4010333716869354,,,
r_8_7,0.4095754325389862,,,
l_6_4,0.8104245066642761,,,
r_5_5,0.6287744045257568,,,
l_4_2,0.4248127043247223,,,
l_3_1,0.44966885447502136,,,
r_7_6,0.7463613748550415,,,
r_6_1,0.5107739567756653,,,
r_b4_1,0.8635246157646179,,,
r_b4_4,0.9497914910316467,,,
l_4_1,0.9591574668884277,,,
l_4_6,0.9521905183792114,,,
l_11_1,0.3949190080165863,,,
r_8_2,0.37026458978652954,,,
r_7_4,0.8848960995674133,,,
l_4_5,0.912325382232666,,,
l_7_3,0.3840401768684387,,,
r_5_1,0.8954798579216003,,,
r_6_6,0.5104427337646484,,,
l_8_4,0.5965020656585693,,,
l_6_6,0.4530871510505676,,,
r_b4_3,0.9176592230796814,,,
l_6_7,0.4515947103500366,,,
r_5_4,0.5465255975723267,,,
r_8_8,0.3888711631298065,,,
l_11_6,0.38936322927474976,,,
r_b4_5,0.5586308836936951,,,
l_8_5,0.7257465720176697,,,
l_7_1,0.5300697684288025,,,
r_6_5,0.37949350476264954,,,
l_11_6,0.46211549639701843,,,
l_5_2,0.5057178139686584,,,
l_6_2,0.5064088106155396,,,
r_9_1,0.39246660470962524,,,
r_9_4,0.42941612005233765,,,
l_6_5,0.3630731701850891,,,
l_8_1,0.9218995571136475,,,
l_10_7,0.48100417852401733,,,
r_b4_3,0.3483864367008209,,,
r_6_4,0.37849026918411255,,,
Summary,,64.0,64.0,100.0
