Name,Confidence,Total Faces,Recognized Faces,Recognition Rate (%)
l_6_1,0.9498377442359924,,,
l_3_4,0.6581801772117615,,,
l_3_3,0.9907981157302856,,,
l_5_5,0.7972015738487244,,,
l_3_2,0.6454523205757141,,,
l_6_4,0.6557231545448303,,,
l_6_3,0.9701309204101562,,,
l_5_6,0.9791479706764221,,,
l_4_3,0.7224979400634766,,,
l_6_2,0.962440013885498,,,
r_7_3,0.3552173674106598,,,
r_10_5,0.34798234701156616,,,
l_6_7,0.9709302186965942,,,
r_7_2,0.38080093264579773,,,
l_4_2,0.9662761688232422,,,
l_6_5,0.5126622915267944,,,
r_9_4,0.3097151517868042,,,
l_4_6,0.9883273243904114,,,
l_9_5,0.596237301826477,,,
l_8_5,0.5018513202667236,,,
l_6_6,0.3675461411476135,,,
l_10_5,0.4117971360683441,,,
l_7_3,0.6510264277458191,,,
r_7_6,0.3378443419933319,,,
l_7_1,0.5327150821685791,,,
l_8_4,0.44120973348617554,,,
l_8_5,0.3122848868370056,,,
l_9_3,0.5113248825073242,,,
l_6_2,0.3042340874671936,,,
l_4_5,0.4960319697856903,,,
l_6_7,0.33777758479118347,,,
l_5_2,0.3114454448223114,,,
l_11_6,0.41120606660842896,,,
l_8_5,0.4121522307395935,,,
r_b4_3,0.3188055157661438,,,
l_8_3,0.3935312032699585,,,
r_9_4,0.3486259877681732,,,
l_10_1,0.46144595742225647,,,
l_11_6,0.4602864980697632,,,
l_11_1,0.44198599457740784,,,
Summary,,40.0,40.0,100.0
