Name,Confidence,Total Faces,Recognized Faces,Recognition Rate (%)
r_11_2,0.3148500919342041,,,
r_9_5,0.3493105471134186,,,
r_11_1,0.3045918941497803,,,
r_11_4,0.3213936686515808,,,
l_4_6,0.32916226983070374,,,
r_11_6,0.3089761734008789,,,
r_11_4,0.32595282793045044,,,
l_4_3,0.3123493790626526,,,
23010441,0.5184603333473206,,,
r_11_2,0.3763267993927002,,,
l_4_3,0.32979586720466614,,,
r_b1_2,0.35800743103027344,,,
l_4_6,0.33306753635406494,,,
r_6_2,0.33442720770835876,,,
r_b4_5,0.40053361654281616,,,
l_5_5,0.37628641724586487,,,
r_11_2,0.3097366690635681,,,
r_7_1,0.3066541850566864,,,
l_3_3,0.4054892659187317,,,
Summary,,19.0,19.0,100.0
